Entry,Gene Names
O43927,CXCL13 BCA1 BLC SCYB13
O60218,AKR1B10 AKR1B11
O60235,TMPRSS11D HAT
O60241,ADGRB2 BAI2
O60258,FGF17 UNQ161/PRO187
O60259,KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322
O60341,KDM1A AOF2 BHC110 KDM1 KIAA0601 LSD1
O60383,GDF9
O60462,NRP2 VEGF165R2
O60469,DSCAM
O60487,MPZL2 EVA EVA1 UNQ606/PRO1192
O60513,B4GALT4 UNQ552/PRO1109
O60565,GREM1 CKTSF1B1 DAND2 DRM PIG2
O60568,PLOD3
O60609,GFRA3 UNQ339/PRO538/PRO3664
O60667,FCMR FAIM3 TOSO
O60687,SRPX2 SRPUL
O60844,ZG16
O60882,MMP20
O60911,CTSV CATL2 CTSL2 CTSU UNQ268/PRO305
O60938,KERA SLRR2B
O60939,SCN2B UNQ326/PRO386
O75015,FCGR3B CD16B FCG3 FCGR3 IGFR3
O75051,PLXNA2 KIAA0463 OCT PLXN2 UNQ209/PRO235
O75063,FAM20B KIAA0475
O75077,ADAM23 MDC3
O75093,SLIT1 KIAA0813 MEGF4 SLIL1
O75094,SLIT3 KIAA0814 MEGF5 SLIL2 UNQ691/PRO1336
O75173,ADAMTS4 KIAA0688 UNQ769/PRO1563
O75309,CDH16 UNQ695/PRO1340
O75339,CILP UNQ602/PRO1188
O75354,ENTPD6 CD39L2 IL6ST2
O75356,ENTPD5 CD39L4 PCPH
O75386,TULP3 TUBL3
O75398,DEAF1 SPN ZMYND5
O75419,CDC45 CDC45L CDC45L2 UNQ374/PRO710
O75443,TECTA
O75445,USH2A
O75462,CRLF1 UNQ288/PRO327
O75487,GPC4 UNQ474/PRO937
O75503,CLN5 BMPS
O75509,TNFRSF21 DR6 UNQ437/PRO868
O75556,SCGB2A1 LIPHC MGB2 UGB3
O75578,ITGA10 UNQ468/PRO827
O75594,PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269
O75610,LEFTY1 LEFTB LEFTYB UNQ278/PRO317
O75612,
O75629,CREG1 CREG UNQ727/PRO1409
O75636,FCN3 FCNH HAKA1
O75718,CRTAP CASP
O75752,B3GALNT1 B3GALT3 UNQ531/PRO1074
O75815,BCAR3 NSP2 SH2D3B UNQ271/PRO308
O75829,CNMD CHMI LECT1 MYETS1
O75882,ATRN KIAA0548 MGCA
O75888,TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715
O75900,MMP23B MMP21 MMP22
O75911,DHRS3 RDH17 SDR16C1 UNQ2424/PRO4983
O75951,LYZL6 LYC1 UNQ754/PRO1485
O76024,WFS1
O76061,STC2
O76076,CCN5 CT58 CTGFL WISP2 UNQ228/PRO261
O76093,FGF18 UNQ420/PRO856
O76096,CST7
O94769,ECM2
O94813,SLIT2 SLIL3
O94905,ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924
O94907,DKK1 UNQ492/PRO1008
O94919,ENDOD1 KIAA0830
O94964,MTCL2 C20orf117 KIAA0889 SOGA SOGA1
O95150,TNFSF15 TL1 VEGI
O95196,CSPG5 CALEB NGC
O95214,LEPROTL1 My047 UNQ577/PRO1139
O95258,SLC25A14 BMCP1 UCP5 UNQ791/PRO1682
O95274,LYPD3 C4.4A UNQ491/PRO1007
O95292,VAPB UNQ484/PRO983
O95297,MPZL1 PZR UNQ849/PRO1787
O95388,CCN4 WISP1
O95389,CCN6 WISP3 UNQ462/PRO790/PRO956
O95390,GDF11 BMP11
O95393,BMP10
O95399,UTS2 UNQ525/PRO1068
O95406,CNIH1 CNIH CNIL UNQ155/PRO181
O95407,TNFRSF6B DCR3 TR6 UNQ186/PRO212
O95428,PAPLN UNQ2420/PRO4977
O95445,APOM G3A NG20 HSPC336
O95450,ADAMTS2 PCINP PCPNI
O95460,MATN4
O95467,GNAS GNAS1
O95500,CLDN14 UNQ777/PRO1571
O95562,SFT2D2 UNQ512/PRO1027
O95631,NTN1 NTN1L
O95633,FSTL3 FLRG UNQ674/PRO1308
O95672,ECEL1 XCE UNQ2431/PRO4991
O95711,LY86 MD1
O95715,CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273
O95750,FGF19 UNQ334/PRO533
O95760,IL33 C9orf26 IL1F11 NFHEV
O95772,STARD3NL MENTHO UNQ855/PRO1864
O95803,NDST3 HSST3 UNQ2544/PRO4998
O95807,TMEM50A SMP1 UNQ386/PRO718
O95813,CER1 DAND4
O95832,CLDN1 CLD1 SEMP1 UNQ481/PRO944
O95833,CLIC3
O95847,SLC25A27 UCP4 UNQ772/PRO1566
O95858,TSPAN15 NET7 TM4SF15 UNQ677/PRO1311
O95859,TSPAN12 NET2 TM4SF12 UNQ774/PRO1568
O95867,LY6G6C C6orf24 G6C NG24 UNQ1947/PRO4430
O95881,TXNDC12 TLP19 UNQ713/PRO1376
O95897,OLFM2 NOE2
O95925,EPPIN SPINLW1 WAP7 WFDC7
O95965,ITGBL1 OSCP TIED
O95967,EFEMP2 FBLN4 UNQ200/PRO226
O95968,SCGB1D1 LIPHA LPNA
O95970,LGI1 EPT UNQ775/PRO1569
O95971,CD160 BY55
O95972,BMP15 GDF9B
O95994,AGR2 AG2 UNQ515/PRO1030
O95998,IL18BP
O96009,NAPSA NAP1 NAPA
O96014,WNT11
P00450,CP
P00451,F8 F8C
P00488,F13A1 F13A
P00533,EGFR ERBB ERBB1 HER1
P00709,LALBA LYZL7
P00734,F2
P00736,C1R
P00738,HP
P00739,HPR
P00740,F9
P00742,F10
P00746,CFD DF PFD
P00747,PLG
P00748,F12
P00749,PLAU
P00750,PLAT
P00751,CFB BF BFD
P00797,REN
P00973,OAS1 OIAS
P00995,SPINK1 PSTI
P01008,SERPINC1 AT3 PRO0309
P01009,SERPINA1 AAT PI PRO0684 PRO2209
P01011,SERPINA3 AACT GIG24 GIG25
P01019,AGT SERPINA8
P01023,A2M CPAMD5 FWP007
P01024,C3 CPAMD1
P01031,C5 CPAMD4
