Entry,Gene Names
Q8TER0,SNED1
Q8WWQ2,HPSE2 HPA2
Q8WXS8,ADAMTS14
Q92563,SPOCK2 KIAA0275 TICN2 UNQ269/PRO306
Q92626,PXDN KIAA0230 MG50 PRG2 PXD01 VPO VPO1
Q92752,TNR
Q93097,WNT2B WNT13
Q93098,WNT8B
Q96A83,COL26A1 EMID2 EMU2
Q96A84,EMID1 EMU1
Q96CG8,CTHRC1 UNQ762/PRO1550
Q96GW7,BCAN BEHAB CSPG7 UNQ2525/PRO6018
Q96P44,COL21A1 COL1AL FP633
Q96RW7,HMCN1 FIBL6
Q99217,AMELX AMG AMGX
Q99542,MMP19 MMP18 RASI
Q99715,COL12A1 COL12A1L
Q99972,MYOC GLC1A TIGR
Q99983,OMD SLRR2C UNQ190/PRO216
Q9BQ16,SPOCK3 TICN3 UNQ409/PRO771
Q9BQB4,SOST UNQ2976/PRO7455/PRO7476
Q9BUD6,SPON2 DIL1 UNQ435/PRO866
Q9BXN1,ASPN PLAP1 SLRR1C UNQ215/PRO241
Q9BXX0,EMILIN2
Q9BY76,ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197
Q9BZV3,IMPG2 IPM200
Q9GZT5,WNT10A
Q9GZU5,NYX CLRP
Q9GZV7,HAPLN2 BRAL1
Q9H1J5,WNT8A WNT8D
Q9H1J7,WNT5B
Q9H239,MMP28 MMP25 UNQ1893/PRO4339
Q9H324,ADAMTS10
Q9H3U7,SMOC2 SMAP2 MSTP117
Q9H4F8,SMOC1
Q9H8L6,MMRN2 EMILIN3
Q9HB63,NTN4
Q9HCB6,SPON1 KIAA0762 VSGP
Q9NP70,AMBN
Q9NPA2,MMP25 MMP20 MMPL1 MT6MMP
Q9NQ76,MEPE
Q9NQ79,CRTAC1 ASPIC1 CEP68
Q9NRE1,MMP26
Q9NRM1,ENAM
Q9NS15,LTBP3
Q9NT22,EMILIN3 C20orf130 EMILIN5
Q9NZW4,DSPP
Q9P2N4,ADAMTS9 KIAA1312
Q9UBM4,OPTC OPT
Q9UBV4,WNT16
Q9UBX5,FBLN5 DANCE UNQ184/PRO210
Q9UHI8,ADAMTS1 KIAA1346 METH1
Q9UJW2,TINAG
